model,ratio,n,pass_rate,success_mean_tokens,failure_mean_tokens,token_diff,correlation,p_value,interpretation
GPT-4o-mini,1.0,2034,0.25417895771878074,25.35009671179884,18.62162162162162,-6.72847509017722,0.19679007057184825,3.3217955489215563e-19,Longer=Success
DeepSeek-chat,1.0,2034,0.26499508357915436,27.749536178107608,18.071571906354514,-9.677964271753094,0.29158811274607493,3.7439002515575144e-41,Longer=Success
GPT-4o-mini,0.7,2034,0.024582104228121928,24.3,25.986895161290324,1.6868951612903231,-0.01690904349895115,0.44595157497180593,No relationship
DeepSeek-chat,0.7,2034,0.004916420845624385,240.7,117.05385375494072,-123.64614624505927,0.08741906464956223,7.889705302898523e-05,No relationship
GPT-4o-mini,0.5,2034,0.0,0.0,18.422320550639135,,,,No relationship
DeepSeek-chat,0.5,2034,0.0019665683382497543,226.0,298.6970443349754,72.69704433497537,-0.022033331904120133,0.32060736445270754,No relationship
GPT-4o-mini,0.3,2034,0.0,0.0,38.50934119960669,,,,No relationship
DeepSeek-chat,0.3,2032,0.002952755905511811,118.0,800.4230009871668,682.4230009871668,-0.09539085849164075,1.653488020099206e-05,No relationship
