ratio,gpt_n_failures,deepseek_n_failures,gpt_median_energy_per_failure,deepseek_median_energy_per_failure,energy_waste_ratio,gpt_total_wasted_energy,deepseek_total_wasted_energy
1.0,1517,1495,0.00603,0.01188,1.9701492537313434,9.647189999999998,17.807219999999997
0.7,1984,2024,0.0072,0.0486,6.75,13.520339999999997,92.81286
0.5,2034,2030,0.00468,0.0981,20.961538461538463,9.982890000000001,223.65143999999998
0.3,2034,2026,0.00801,0.37044,46.247191011235955,16.45722,587.3736600000001
