model,ratio,p95_threshold,n_outliers,pct_outliers,outlier_mean_tokens,outlier_max_tokens,outlier_pass_rate
GPT-4o-mini,1.0,23.0,428,21.04228121927237,30.429906542056074,298,0.9719626168224299
DeepSeek-chat,1.0,23.0,540,26.548672566371682,28.90740740740741,243,0.9944444444444445
GPT-4o-mini,0.7,41.0,106,5.2114060963618485,63.74528301886792,270,0.02830188679245283
DeepSeek-chat,0.7,238.3499999999999,102,5.014749262536873,402.8333333333333,1024,0.00980392156862745
GPT-4o-mini,0.5,26.0,103,5.063913470993117,40.10679611650485,155,0.0
DeepSeek-chat,0.5,560.0,104,5.11307767944936,694.4230769230769,1024,0.0
GPT-4o-mini,0.3,61.0,109,5.35889872173058,76.9908256880734,480,0.0
DeepSeek-chat,0.3,1024.0,1504,74.01574803149606,1024.0,1024,0.0
